Index,Listed Stocks,Industry,Sub-Industry,Assets,Liabilities,Equity,Operating Profit,BV,DER,Year
BISI,,,,1663,687,941,574.00,314.00,0.73,2008
AALI,,,,6520,1183,5156,3377.00,3274.00,0.23,2008
UNSP,,,,4700,2229,2470,760.00,652.00,0.90,2008
GZCO,,,,1429,517,882,98.00,176.00,0.59,2008
LSIP,,,,4921,1724,3197,1314.00,2343.00,0.54,2008
SGRO,,,,2156,578,1553,611.00,822.00,0.37,2008
SMAR,,,,10026,5406,4615,2141.00,1607.00,1.17,2008
TBLA,,,,2802,1909,889,368.00,213.00,2.15,2008
CPDW,,,,29,17,12,-1.00,351.00,1.39,2008
MBAI,,,,812,572,240,147.00,3194.00,2.39,2008
CPRO,,,,9371,6018,3343,593.00,149.00,1.80,2008
DSFI,,,,245,129,116,-44.00,62.00,1.12,2008
IIKP,,,,419,2,417,21.00,124.00,0.00,2008
BTEK,,,,86,0,86,-9.00,78.00,0.00,2008
ADRO,,,,33720,19693,14009,4212.00,438.00,1.41,2008
ATPK,,,,194,34,165,-26.00,198.00,0.21,2008
BYAN,,,,6747,4734,1992,201.00,598.00,2.38,2008
BUMI,,,,58253,34795,17267,12129.00,890.00,2.02,2008
ITMG,,,,10721,4037,6684,3723.00,5915.00,0.60,2008
PKPK,,,,506,310,197,70.00,328.00,1.58,2008
PTRO,,,,1952,1178,774,119.00,7541.00,1.52,2008
KKGI,,,,225,101,124,38.00,495.00,0.82,2008
PTBA,,,,6107,2029,3998,2494.00,1735.00,0.51,2008
APEX,,,,5141,2329,2811,883.00,1057.00,0.83,2008
ELSA,,,,3318,1686,1614,180.00,221.00,1.04,2008
ENRG,,,,12627,8880,3711,583.00,258.00,2.39,2008
MEDC,,,,21683,13522,8028,3792.00,2409.00,1.68,2008
RUIS,,,,619,417,202,60.00,262.00,2.07,2008
ANTM,,,,10245,2131,8063,1454.00,845.00,0.26,2008
CITA,,,,723,309,340,289.00,302.00,0.91,2008
INCO,,,,20176,3523,16654,5237.00,1676.00,0.21,2008
TINS,,,,5785,1964,3821,2070.00,759.00,0.51,2008
CNKO,,,,773,120,653,14.00,154.00,0.18,2008
CTTH,,,,203,158,46,15.00,37.00,3.46,2008
MITI,,,,128,108,20,14.00,8.00,5.50,2008
SMCB,,,,7675,5137,2538,986.00,331.00,2.02,2008
INTP,,,,11287,2765,8500,2460.00,2309.00,0.33,2008
SMGR,,,,10603,2429,8070,3387.00,1360.00,0.30,2008
ARNA,,,,736,448,283,115.00,309.00,1.58,2008
AMFG,,,,1993,496,1497,346.00,3450.00,0.33,2008
IKAI,,,,784,438,343,30.30,524.00,1.28,2008
KIAS,,,,831,709,122,40.00,14.00,5.80,2008
MLIA,,,,3733,8695,-4962,134.00,-3751.00,-1.75,2008
TOTO,,,,1031,668,363,206.00,7332.00,1.84,2008
ALMI,,,,1637,1201,436,115.00,1415.00,2.76,2008
BTON,,,,71,15,55,25.00,307.00,0.28,2008
CTBN,,,,2089,1066,1009,327.00,12617.00,1.06,2008
INAI,,,,622,546,77,44.00,484.00,7.12,2008
ITMA,,,,23,17,6,-3.00,173.00,2.84,2008
JKSW,,,,300,719,-419,-6.00,-2790.00,-1.72,2008
JPRS,,,,399,130,270,98.00,360.00,0.48,2008
LION,,,,253,52,201,51.00,3868.00,0.26,2008
LMSH,,,,62,24,38,16.00,3948.00,0.64,2008
PICO,,,,589,438,151,49.00,265.00,2.90,2008
TBMS,,,,1173,1098,75,75.00,4094.00,14.61,2008
BUDI,,,,1699,1051,619,135.00,165.00,1.70,2008
DPNS,,,,143,34,101,-16.00,304.00,0.34,2008
EKAD,,,,141,61,59,9.00,106.00,1.03,2008
ETWA,,,,418,168,249,6.00,257.00,0.68,2008
SRSN,,,,393,200,193,69.00,32.00,1.04,2008
INCI,,,,175,16,160,-4.00,881.00,0.10,2008
SOBI,,,,1111,517,544,289.00,603.00,0.95,2008
TPIA,,,,2375,963,1412,63.00,1938.00,0.68,2008
UNIC,,,,3107,1723,1341,231.00,3498.00,1.29,2008
AKKU,,,,43,16,26,-8.00,115.00,0.62,2008
AKPI,,,,1644,859,732,148.00,1077.00,1.17,2008
APLI,,,,276,151,125,23.00,97.00,1.20,2008
BRNA,,,,433,231,181,40.00,1314.00,1.27,2008
DYNA,,,,1235,718,401,84.00,1275.00,1.79,2008
IGAR,,,,306,73,192,15.00,182.00,0.38,2008
LAPD,,,,1332,645,420,45.00,106.00,1.54,2008
SIAP,,,,142,53,71,14.00,118.00,0.75,2008
SIMA,,,,66,36,30,-10.00,327.00,1.19,2008
FPNI,,,,3520,2100,1420,-116.00,255.00,1.48,2008
TRST,,,,2159,1121,1037,145.00,369.00,1.08,2008
TALFA,,,,253,54,199,25.00,147.00,0.27,2008
TALFB,,,,253,54,199,25.00,57868.00,0.27,2008
YPAS,,,,181,62,118,31.00,177.00,0.52,2008
CPIN,,,,5179,3844,1320,960.00,402.00,2.91,2008
JPFA,,,,5385,4172,1043,612.00,700.00,4.00,2008
MAIN,,,,860,815,46,79.00,136.00,17.66,2008
SIPD,,,,1385,351,1033,74.00,110.00,0.34,2008
BRPT,,,,17244,8309,6825,-1842.00,978.00,1.22,2008
DSUC,,,,237,376,-139,-39.00,-278.00,-2.70,2008
SULI,,,,2170,1796,325,-28.00,263.00,5.53,2008
TIRT,,,,567,436,131,2.00,129.00,3.33,2008
FASW,,,,3719,2411,1308,389.00,528.00,1.84,2008
INKP,,,,65349,41800,23546,3230.00,4304.00,1.78,2008
