Kode,Saham Beredar
ASII,4048355314
BBCA,24408459120
HMSP,4383000000
BBRI,24422470380
BMRI,23099999999
UNVR,7630000000
TLKM,20159999280
GGRM,1924088000
UNTR,3730135136
PGAS,24241508196
BBNI,18462169893
SMGR,5931520000
INTP,3681231699
BYAN,3333333500
ADRO,31985962000
BUMI,20773400000
ITMG,1129925000
INDF,8780426500
PTBA,2304131850
BDMN,9488796931
EXCL,8518566332
CPIN,16422807040
KLBF,10156014422
AALI,1574745000
INCO,9936338720
ISAT,5433933500
BNGA,24880290775
ICBP,5830954000
JSMR,6800000000
SMMA,6232528057
BNII,55719170852
BTPN,5606980970
EMTK,5640032442
PNBN,23837645998
HRUM,2700067500
SMAR,2872193366
SIMP,15816310000
MNCN,13846723000
IMAS,1382639206
BSDE,17496996592
SMCB,7662900000
GEMS,5882353000
ANTM,9538459750
LSIP,6822863965
LPKR,23077689619
SCMA,1934409664
INVS,2568921809
BORN,17693000000
BRAU,34900000000
BMTR,13846275550
AMRT,3431777000
BRMS,25570150041
KRAS,15775000000
AUTO,3855786400
ADMF,1000000000
MEGA,3609497271
BNLI,8943310441
AKRA,3821986000
TSPC,4500000000
INDY,5210192000
MYOR,766584000
FASW,2477888787
TBIG,4556699889
GIAA,22640996000
BBTN,8745199075
ABMM,2753165000
GJTL,3484800000
TOWR,1020292500
TRAM,9731641746
BHIT,29968494291
DSSA,770552320
BJBR,9599328254
MAPI,1660000000
SMRA,6873140840
TINS,5033020000
BKSL,31396905010
ASRI,17863101888
CTRA,15165815994
MEDC,3332451450
VIVA,15464280000
TPIA,3066196416
JPFA,2071732660
MLBI,21070000
NISP,6971502377
PWON,10033250500
HEXA,840000000
BTEL,28482417579
ENRG,40584111647
APLN,20500000000
ACES,1715000000
LPPF,2917918080
INKP,5470982941
KKGI,1000000000
BIPI,30075744452
JRPT,2750000000
FREN,1.18639E+11
IDKM,2025613819
RMBA,7240005000
SGRO,1890000000
PLIN,3550000000
DOID,8148494232
BAEK,2643300000
BRPT,6979892784
MPPA,5576546800
RALS,7096000000
BNBR,93721717528
ELTY,39919772265
FAST,460416595
BBKP,7875614183
ARII,3000000000
BWPT,4041504190
MAYA,3060908400
BFIN,760339281
JKON,2935533575
TRIO,4450000000
UNSP,13686738842
KIJA,19816894728
WIKA,6027113500
HERO,329420000
IIKP,3360000000
CTBN,800000000
SSIA,4705249440
ROTI,1012360000
CMNP,2000000000
PTRO,100860500
TURI,5580000000
DUTI,1850000000
PNLF,28036106891
ULTJ,2888382000
MASA,6121964630
RODA,13474800581
CTRP,6150000000
MERK,22400000
TBLA,4942098939
ERAA,2900000000
AMFG,434000000
TKIM,1335702240
META,13690452623
MKPI,948194000
BISI,3000000000
DILD,10365853610
SUPR,600000000
BKSW,3526169643
TOTO,49536000
KPIG,3525889500
BSIM,8986864400
TFCO,4823076400
PTPP,4842436500
ADMG,3889179559
SRAJ,5535250000
BLTA,11550831470
CPRO,40470734746
SOBI,924912750
MDRN,639817902
MYOH,1470875000
EPMT,2708640000
SMSM,1439668860
KAEF,5554000000
MTLA,7579333000
INRU,1373484261
DLTA,16013181
BULL,17650000000
CTRS,1978864834
DKFT,1093040000
DEWA,21853733792
PNIN,4068323920
ELSA,7298500000
MAIN,1695000000
SCBD,3322092000
CFIN,3774796493
JSPT,2318736000
PJAA,1599999996
GWSA,7800760000
TCID,201066667
MYRX,5214405164
ASGR,1348780500
MBSS,1750026639
SAIP,5509574061
GTBO,2500000000
AISA,2926000000
JIHD,2329040482
JAWA,3774685500
BCIC,28066675536
CKRA,5056800000
HITS,4661183654
PLAS,1184200000
PBRX,3063861660
MTFN,4008094345
GZCO,5000000000
INDR,654351707
DVLA,1120000000
INTA,2160029220
BUVA,2857142500
LPCK,696000000
DART,2861390962
MIDI,2882353000
WINS,3550000770
MLPL,7727542968
MFIN,1325000000
BTEK,1102977500
TRST,2808000000
POLY,2376907937
BEKS,9165927107
CITA,3370734900
GDST,8200000000
SMRU,1500000000
ADHI,1801320000
MBAI,75000000
TGKA,918492750
KBLV,1741896978
TOTL,3410000000
BRAM,450000000
KARK,19324488028
FISH,480000000
PANS,720000000
BUDI,3783367329
STTP,1310000000
BCIP,1428935000
FPNI,5566414000
IPOL,6440516680
CASS,2086950000
BKDP,7315022252
BVIC,6482315361
INPC,8489325464
TMPI,5502083747
TRUB,15799456267
INDS,225000000
UNIC,383331363
MDLN,3056845688
BBLD,1436122312
SONA,331200000
RDTX,268800000
LAPD,3966350139
BATA,13000000
BACA,4467175062
