Kode,Nama,Saham Beredar,Market Cap
ASII,Astra International Tbk.,40483553140,307675003864000
HMSP,H.M. Sampoerna Tbk.,4383000000,262541700000000
BBCA,Bank Central Asia Tbk.,24408459120,222116977992000
BMRI,Bank Mandiri (Persero) Tbk.,23099999999,187109999991900
TLKM,Telekomunikasi Indonesia (Persero) Tbk.,20159999280,182447993484000
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,24422470380,169736169141000
UNVR,Unilever Indonesia Tbk.,7630000000,159085500000000
PGAS,Perusahaan Gas Negara (Persero) Tbk.,24241508196,111510937701600
GGRM,Gudang Garam Tbk.,1924088000,108326154400000
SMGR,Semen Gresik (Persero) Tbk.,5931520000,94014592000000
INTP,Indocement Tunggal Prakasa Tbk.,3681231699,82643651642550
UNTR,United Tractors Tbk.,3730135136,73483662179200
BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,68310028604100
CPIN,Charoen Pokphand Indonesia Tbk,16398000000,59852700000000
KLBF,Kalbe Farma Tbk.,50780072110,53826876436600
BDMN,Bank Danamon Indonesia Tbk.,9488796931,53611702660150
INDF,Indofood Sukses Makmur Tbk.,8780426500,51365495025000
ADRO,Adaro Energy Tbk.,31985962000,50857679580000
EXCL,XL Axiata Tbk.,8526276611,48599776682700
ITMG,Indo Tambangraya Megah Tbk.,1129925000,46948383750000
ICBP,Indofood CBP Sukses Makmur Tbk.,5830954000,45481441200000
JSMR,Jasa Marga (Persero) Tbk.,6800000000,37060000000000
ISAT,Indosat Tbk,5433933500,35048871075000
MNCN,Media Nusantara Citra Tbk.,13956126500,34890316250000
PTBA,Tambang Batubara Bukit Asam (Persero) Tb,2304131850,34792390935000
BMTR,Global Mediacom Tbk.,13967961050,33523106520000
AALI,Astra Agro Lestari Tbk.,1574745000,31022476500000
BTPN,Bank Tabungan Pensiunan Nasional Tbk.,5781884384,30354893016000
SMMA,Sinarmas Multiartha Tbk.,6235933276,28529394737700
BYAN,Bayan Resources Tbk.,3333333500,28166668075000
BNGA,Bank CIMB Niaga Tbk.,24880290775,27368319852500
TBIG,Tower Bersama Infrastructure Tbk.,4796526199,27340199334300
INCO,Vale Indonesia Tbk.,9936338720,23350395992000
TOWR,Sarana Menara Nusantara Tbk.,1020292500,23160639750000
LPKR,Lippo Karawaci Tbk.,23077689619,23077689619000
BNII,Bank Internasional Indonesia Tbk.,55719170852,22566264195060
SMCB,Holcim Indonesia Tbk.,7662900000,22222410000000
EMTK,Elang Mahkota Teknologi Tbk.,5640032442,21996126523800
SCMA,Surya Citra Media Tbk.,9750000000,21937500000000
AMRT,Sumber Alfaria Trijaya Tbk.,3774954700,19818512175000
BSDE,Bumi Serpong Damai Tbk.,17496996592,19421666217120
BHIT,Bhakti Investama Tbk.,35688247307,19271653545780
SMAR,Smart Tbk.,2872193366,18812866547300
INVS,Inovisi Infracom Tbk.,2568922809,18239351943900
SIMP,Salim Ivomas Pratama Tbk.,15816310000,18188756500000
TSPC,Tempo Scan Pacific Tbk.,4500000000,16762500000000
HRUM,Harum Energy Tbk.,2703545000,16221270000000
AKRA,AKR Corporindo Tbk.,3851443500,15983490525000
LSIP,PP London Sumatra Indonesia Tbk.,6822863965,15692587119500
MLBI,Multi Bintang Indonesia Tbk.,21070000,15591800000000
MYOR,Mayora Indah Tbk,766584000,15331680000000
PNBN,Bank Pan Indonesia Tbk,23837645998,15017716978740
GIAA,Garuda Indonesia (Persero) Tbk.,22640996000,14943057360000
BBTN,Bank Tabungan Negara (Persero) Tbk.,10250540500,14863283725000
IMAS,Indomobil Sukses Internasional Tbk.,2765278412,14655975583600
AUTO,Astra Otoparts Tbk.,3855786400,14266409680000
HERO,Hero Supermarket Tbk.,3294200000,14247415000000
ACES,Ace Hardware Indonesia Tbk.,17150000000,14063000000000
GEMS,Golden Energy Mines Tbk.,5882353000,13970588375000
BNLI,Bank Permata Tbk.,10569366884,13951564286880
SMRA,Summarecon Agung Tbk.,7213390840,13705442596000
TPIA,Chandra Asri Petrochemical Tbk.,3066196416,13414609320000
JPFA,Japfa Comfeed Indonesia Tbk.,2132104582,13112443179300
NISP,Bank OCBC NISP Tbk.,8463403886,12949007945580
BUMI,Bumi Resources Tbk,20773400000,12256306000000
ANTM,Aneka Tambang (Persero) Tbk.,9538459750,12209228480000
CTRA,Ciputra Development Tbk.,15165815994,12132652795200
MEGA,Bank Mega Tbk.,3609497271,12091815857850
ASRI,Alam Sutera Realty Tbk.,19649411888,11789647132800
TRAM,Trada Maritime Tbk.,9731641746,11191388007900
MAPI,Mitra Adiperkasa Tbk.,1660000000,11039000000000
PWON,Pakuwon Jati Tbk.,48159602400,10835910540000
DSSA,Dian Swastatika Sentosa Tbk,770552320,10479511552000
IDKM,Indosiar Karya Media Tbk,10128069095,10431911167850
MAYA,Bank Mayapada Internasional Tbk.,3060908400,10407088560000
