No,Kode,Nama,Saham Beredar,Market Cap
1,AALI,Astra Agro Lestari Tbk.,1924688333,32286600000000
2,ABBA,Mahaka Media Tbk.,2755125000,137756000000
3,ABDA,Asuransi Bina Dana Arta Tbk.,620806680,4283570000000
4,ABMM,ABM Investama Tbk.,2753165000,5588920000000
5,ACES,Ace Hardware Indonesia Tbk.,17150000000,14320300000000
6,ACST,Acset Indonusa Tbk.,700000000,1974000000000
7,ADES,Akasha Wira International Tbk.,589896800,589897000000
8,ADHI,Adhi Karya (Persero) Tbk.,3560849376,7406570000000
9,ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,6750000000000
10,ADMG,Polychem Indonesia Tbk,3889179559,490037000000
11,ADRO,Adaro Energy Tbk.,31985962000,54216200000000
12,AGII,Aneka Gas Industri Tbk.,3066660000,2698660000000
13,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,15172454702,5856570000000
14,AGRS,Bank Agris Tbk.,5203614878,473529000000
15,AHAP,Asuransi Harta Aman Pratama Tbk.,840000000,163800000000
16,AIMS,Akbar Indo Makmur Stimec Tbk,220000000,39600000000
17,AISA,Tiga Pilar Sejahtera Food Tbk.,3218600000,6260180000000
18,AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,477260000000
19,AKPI,Argha Karya Prima Industry Tbk.,680000000,612000000000
20,AKRA,AKR Corporindo Tbk.,3991781170,23950700000000
21,AKSI,Majapahit Inti Corpora Tbk.,720000000,90000000000
22,ALDO,Alkindo Naratama Tbk.,550000000,330000000000
23,ALKA,Alakasa Industrindo Tbk,507665055,142146000000
24,ALMI,Alumindo Light Metal Industry Tbk.,616000000,112728000000
25,ALTO,Tri Banyan Tirta Tbk.,2186603090,721579000000
26,AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,1870580000000
27,AMFG,Asahimas Flat Glass Tbk.,434000000,2907800000000
28,AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,295920000000
29,AMRT,Sumber Alfaria Trijaya Tbk.,41524501700,25952800000000
